com,com_name,nombre_pistes_cyclables
13213,Marseille 13e Arrondissement,123
33200,Haillan,123
06152,Valbonne,122
44036,Châteaubriant,122
85019,Bellevigny,122
78158,Chesnay-Rocquencourt,122
07010,Annonay,121
35024,Betton,121
33214,Lacanau,121
40312,Tarnos,121
64260,Hendaye,120
42207,Saint-Chamond,119
94071,Sucy-en-Brie,119
21054,Beaune,119
13210,Marseille 10e Arrondissement,119
67067,Brumath,118
44210,Trignac,118
95582,Sannois,118
69081,Écully,118
35055,Chantepie,118
95476,Osny,118
24322,Périgueux,118
70550,Vesoul,118
34145,Lunel,118
44009,Basse-Goulaine,118
29058,Fouesnant,117
59090,Bondues,117
94022,Choisy-le-Roi,117
67046,Bischwiller,117
30007,Alès,116
59560,Seclin,116
93027,Courneuve,116
13005,Aubagne,116
95607,Taverny,116
59343,Lesquin,116
74243,Saint-Julien-en-Genevois,116
69286,Rillieux-la-Pape,116
13100,Saint-Rémy-de-Provence,116
53062,Château-Gontier-sur-Mayenne,116
84129,Sorgues,115
69271,Chassieu,115
51055,Bétheny,114
56083,Hennebont,114
78640,Vélizy-Villacoublay,114
15014,Aurillac,114
77285,Mée-sur-Seine,114
47323,Villeneuve-sur-Lot,114
01143,Divonne-les-Bains,113
95203,Eaubonne,113
59507,Ronchin,113
53054,Changé,112
17274,Périgny,112
85035,Bretignolles-sur-Mer,112
92022,Chaville,112
67365,Ostwald,111
31395,Muret,111
76575,Saint-Étienne-du-Rouvray,111
92051,Neuilly-sur-Seine,111
78517,Rambouillet,111
17225,Mathes,111
93006,Bagnolet,110
93008,Bobigny,110
22187,Plérin,110
31254,Labège,110
54578,Villers-lès-Nancy,110
84054,Isle-sur-la-Sorgue,110
92060,Plessis-Robinson,110
17385,Saint-Pierre-d'Oléron,110
76498,Petit-Quevilly,109
67506,Vendenheim,109
59299,Hem,109
06018,Biot,109
66008,Argelès-sur-Mer,109
17291,Puilboreau,109
45235,Ormes,108
49020,Beaucouzé,108
66037,Canet-en-Roussillon,108
56034,Carnac,108
53147,Mayenne,108
35152,Liffré,108
31150,Cornebarrieu,107
67519,Wantzenau,107
27701,Val-de-Reuil,107
69283,Mions,107
92020,Châtillon,106
69152,Pierre-Bénite,106
49092,Chemillé-en-Anjou,105
76758,Yvetot,105
45308,Semoy,105
11202,Leucate,105
31506,Saint-Orens-de-Gameville,105
40310,Soustons,105
95306,Herblay-sur-Seine,104
03023,Bellerive-sur-Allier,104
59172,Denain,104
74256,Sallanches,104
13027,Châteaurenard,104
69199,Saint-Fons,104
34129,Lattes,103
49214,Montreuil-Juigné,103
26064,Chabeuil,103
38317,Pont-de-Claix,103
78172,Conflans-Sainte-Honorine,103
78146,Chatou,102
92035,Garenne-Colombes,102
94058,Perreux-sur-Marne,102
35240,Rheu,102
37072,Chinon,102
29220,Pont-l'Abbé,102
33519,Taillan-Médoc,102
77122,Combs-la-Ville,101
26108,Crest,101
54184,Essey-lès-Nancy,101
73054,Bourg-Saint-Maurice,101
38563,Voiron,101
26324,Saint-Paul-Trois-Châteaux,101
45274,Saint-Denis-en-Val,101
25031,Audincourt,100
62753,Saint-Laurent-Blangy,100
35206,Noyal-Châtillon-sur-Seiche,100
60509,Pont-Sainte-Maxence,100
94038,Haÿ-les-Roses,100
54526,Tomblaine,100
50025,Avranches,100
59449,Orchies,100
03095,Cusset,100
68300,Sausheim,100
85012,Barre-de-Monts,99
44003,Ancenis-Saint-Géréon,99
59295,Hazebrouck,99
56172,Plumelec,99
09122,Foix,99
54357,Maxéville,99
44186,Sainte-Pazanne,99
16102,Cognac,99
13028,Ciotat,98
29103,Landerneau,98
67458,Schweighouse-sur-Moder,98
63014,Aubière,98
33003,Ambarès-et-Lagrave,98
38140,Crolles,98
14762,Vire Normandie,98
35352,Vern-sur-Seiche,97
67544,Wissembourg,97
91386,Mennecy,97
42147,Montbrison,96
56251,Theix-Noyalo,96
94037,Gentilly,96
85178,Poiré-sur-Vie,96
68278,Rixheim,96
85089,Ferrière,96
74263,Sciez,96
31417,Pibrac,95
